trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.5012879444002465,8.501288246272452,8.501288246272452,down,1,1.5808001145378512,3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
1,0,1,0,10.10678603157794,11.110288672822207,11.093480039955466,down,0,0.6209254766763479,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
2,0,2,0,11.745758900069632,12.74972974751654,12.732893342265015,down,0,0.5975269396149088,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
3,0,3,0,13.351775606366573,14.3551901004721,14.3551901004721,down,0,0.7825785736167745,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
4,0,4,0,15.158145021967357,16.161479821399553,16.161479821399553,down,1,6.048680595471524,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
5,0,5,0,22.232722934528283,23.236339684051927,23.236339684051927,up,1,0.1096334358517197,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
6,0,6,0,23.37139166520501,24.373618286062992,24.373618286062992,down,0,0.060107121062173974,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
7,0,7,0,24.458833928074455,25.460790070043004,25.460790070043004,up,0,0.4610081538630766,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
8,0,8,0,25.94739155411662,26.949398712749826,26.949398712749826,up,0,0.0763615137002489,-2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
9,0,9,0,27.051259372048662,28.05288284913331,28.05288284913331,down,0,0.4127798962435918,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
10,0,10,0,28.4889648537428,29.49133395901663,29.49133395901663,down,1,0.9268108377000317,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
11,0,11,0,30.444402551074745,31.447941115297,31.43120976211503,down,0,5.018923087645817,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
12,0,12,0,36.48205073712961,37.48560862127488,37.4688999086211,down,1,0.40525659838021966,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
13,0,13,0,37.90372974087586,38.907286115649185,38.8905363481681,down,1,0.5837723635886505,-3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
14,0,14,0,39.49259790445285,40.49605617025372,40.47931123275339,down,0,0.3074754610825039,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
15,0,15,0,40.81382901809775,41.817311131926544,41.800644077855395,up,1,0.37820659631324816,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
16,0,16,0,42.20200094003667,43.20547007329151,43.19076278367356,down,0,0.41210128402963164,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
17,0,17,0,43.62357911794243,44.627129757114744,44.610353424741334,up,0,0.367531132644217,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
18,0,18,0,44.99507342022844,45.998587834546925,45.98184953826785,up,0,0.4199786798126297,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
19,0,19,0,46.433385970056406,47.436954419779795,47.42016088060336,up,0,0.07042939242819557,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
20,0,20,0,47.5204856062046,48.52399186993716,48.50731908026137,down,1,0.40633096709643723,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
21,0,21,0,48.942176081152866,49.945649138768204,49.92894827483542,up,0,0.32871680824973737,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
22,0,22,0,50.28018533841532,51.283639679855696,51.26695390961322,down,0,0.20661732454391313,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
23,0,23,0,51.50108629272654,52.504597990184266,52.48788233443702,up,1,0.3616735741888988,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
24,0,24,0,52.872470411090035,53.87593682748047,53.85925437785045,up,0,0.0790548313925683,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
25,0,25,0,53.95966694871822,54.963277057020605,54.94638812573612,down,1,0.3198109285622195,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
26,0,26,0,55.297665338523075,56.301405554415396,56.284893361586,up,0,0.11750358666176908,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
